Client_ID,Region,Client_Location,Client_Tenure_Months,Service_Type,Support_Access,Engagement_Type,Monthly_Client_Value,Cumulative_Client_Value,Churn_Status,Churn_Flag,CLTV,Churn Reason,Client_Health_Index,Content_Quality_Score,Content_Score_Trend_30D,Guideline_Compliance_Score,Compliance_Flags,Critical_Compliance_Issues,Engagement_Score,Monthly_Engagements,Client_Meetings,Report_Views,Response_Rate,Support_Tickets,Unresolved_Support_Tickets,Avg_Resolution_Time,Days_Since_Last_Engagement,Search_Visibility_Change,Traffic_Change,noise_control_1,noise_control_2
3668-QPYBK,California,Los Angeles,2,DSL,No,Month-to-month,53.85,108.15,Yes,1,3239,Competitor made better offer,-0.101,90.4,-1.1,89.7,4.7,0.9,50.0,0.4,3.7,2.4,74.9,4.9,2.0,37.3,-0.5,-12.7,2.5,53.7,1.0
9237-HQITU,California,Los Angeles,2,Fiber optic,No,Month-to-month,70.7,151.65,Yes,1,2701,Moved,-1.359,54.3,-8.5,85.4,1.2,1.8,35.8,8.2,-1.0,12.6,75.7,5.3,2.1,41.3,24.6,3.1,-9.5,69.1,0.0
9305-CDSKC,California,Los Angeles,8,Fiber optic,No,Month-to-month,99.65,820.5,Yes,1,5372,Moved,0.359,70.3,7.7,85.6,2.1,-0.8,81.7,5.0,0.8,6.4,77.2,2.8,-0.9,39.3,53.8,5.4,4.6,58.0,0.0
7892-POOKP,California,Los Angeles,28,Fiber optic,Yes,Month-to-month,104.8,3046.05,Yes,1,5003,Moved,0.767,77.7,13.5,89.8,1.5,-0.7,25.7,9.4,4.4,15.2,103.5,3.9,-1.4,41.1,29.3,12.4,0.8,63.2,4.0
0280-XJGEX,California,Los Angeles,49,Fiber optic,No,Month-to-month,103.7,5036.3,Yes,1,5340,Competitor had better devices,-1.868,65.3,3.2,50.0,3.2,1.5,47.7,3.8,1.9,10.9,41.6,5.9,2.0,60.1,59.6,-1.1,-19.9,86.3,1.3
4190-MFLUW,California,Los Angeles,10,DSL,Yes,Month-to-month,55.2,528.35,Yes,1,5925,Competitor offered higher download speeds,-1.462,62.1,-20.9,60.4,2.7,0.4,57.3,8.7,1.6,4.3,44.2,6.0,-0.2,39.1,45.6,-1.7,1.4,61.6,0.6
8779-QRDMV,California,Los Angeles,1,DSL,No,Month-to-month,39.65,39.65,Yes,1,5433,Competitor offered more data,-0.274,77.2,-5.6,71.5,3.7,0.1,42.0,-3.0,2.4,8.7,69.6,-1.0,-0.2,41.4,48.7,-0.7,3.1,67.6,0.0
1066-JKSGK,California,Los Angeles,1,No,No internet service,Month-to-month,20.15,20.15,Yes,1,4832,Competitor made better offer,-0.689,69.2,-3.7,97.1,2.8,1.6,50.7,9.9,2.1,15.3,81.2,2.4,1.0,32.7,16.4,-1.9,1.7,79.1,1.3
6467-CHFZW,California,Los Angeles,47,Fiber optic,No,Month-to-month,99.35,4749.15,Yes,1,5789,Competitor had better devices,-0.073,87.4,1.3,72.3,1.3,0.2,53.4,10.8,0.1,18.7,87.8,2.6,2.6,28.5,46.5,6.6,-8.8,68.8,9.9
8665-UTDHZ,California,Los Angeles,1,DSL,No,Month-to-month,30.2,30.2,Yes,1,2915,Competitor had better devices,-1.191,66.5,-17.2,78.4,3.1,0.6,49.6,5.2,0.3,8.6,25.0,1.4,0.5,41.9,39.2,-12.6,-23.0,79.0,3.9
