Client_ID,churn_probability,expected_value_remaining,priority_score,segment,recommended_action
9851-KIELU,0.98302644,2642.3999999999996,2597.5490780353543,High risk + High value,Save now - senior advisor call + content strategy review within 7 days
3992-YWPKO,0.97059107,2637.6000000000004,2560.0310016632084,High risk + High value,Save now - senior advisor call + content strategy review within 7 days
1583-IHQZE,0.94117224,2710.8,2551.3297140598297,High risk + High value,Save now - senior advisor call + content strategy review within 7 days
5760-IFJOZ,0.9821302,2590.8,2544.502998518944,High risk + High value,Save now - senior advisor call + content strategy review within 7 days
0115-TFERT,0.9472856,2668.8,2528.115789413452,High risk + High value,Save now - senior advisor call + content strategy review within 7 days
8111-SLLHI,0.9856974,2535.6000000000004,2499.334298658371,High risk + High value,Save now - senior advisor call + content strategy review within 7 days
9158-VCTQB,0.91038936,2726.3999999999996,2482.085561370849,High risk + High value,Save now - senior advisor call + content strategy review within 7 days
6591-QGOYB,0.96761775,2559.6000000000004,2476.7143933296206,High risk + High value,Save now - senior advisor call + content strategy review within 7 days
0363-QJVFX,0.94971365,2595.6000000000004,2465.076743102074,High risk + High value,Save now - senior advisor call + content strategy review within 7 days
4587-VVTOX,0.9744596,2527.2,2462.654272127151,High risk + High value,Save now - senior advisor call + content strategy review within 7 days
7089-IVVAZ,0.9908021,2480.3999999999996,2457.5855517625805,High risk + High value,Save now - senior advisor call + content strategy review within 7 days
9851-QXEEQ,0.97751826,2512.8,2456.3078849315643,High risk + High value,Save now - senior advisor call + content strategy review within 7 days
5519-YLDGW,0.9832513,2493.6000000000004,2451.8353759288793,High risk + High value,Save now - senior advisor call + content strategy review within 7 days
9874-QLCLH,0.98041993,2500.8,2451.8341704368595,High risk + High value,Save now - senior advisor call + content strategy review within 7 days
5052-PNLOS,0.96838063,2528.3999999999996,2448.4535849332806,High risk + High value,Save now - senior advisor call + content strategy review within 7 days
3389-YGYAI,0.96616346,2532.0,2446.325871706009,High risk + High value,Save now - senior advisor call + content strategy review within 7 days
7181-BQYBV,0.9890316,2458.8,2431.830929732323,High risk + High value,Save now - senior advisor call + content strategy review within 7 days
1465-VINDH,0.99239564,2450.3999999999996,2431.766274833679,High risk + High value,Save now - senior advisor call + content strategy review within 7 days
9801-GDWGV,0.97517234,2482.8,2421.157887911797,High risk + High value,Save now - senior advisor call + content strategy review within 7 days
3932-CMDTD,0.95289457,2535.6000000000004,2416.1594677448275,High risk + High value,Save now - senior advisor call + content strategy review within 7 days
6688-UZPWD,0.98490185,2448.0,2411.0397176742554,High risk + High value,Save now - senior advisor call + content strategy review within 7 days
9822-WMWVG,0.94263494,2556.0,2409.374907016754,High risk + High value,Save now - senior advisor call + content strategy review within 7 days
9601-BRXPO,0.9565064,2518.8,2409.2482485294345,High risk + High value,Save now - senior advisor call + content strategy review within 7 days
6892-XPFPU,0.95782584,2502.0,2396.480250477791,High risk + High value,Save now - senior advisor call + content strategy review within 7 days
2018-PZKMU,0.9680099,2474.3999999999996,2395.2436696529385,High risk + High value,Save now - senior advisor call + content strategy review within 7 days
7599-FKVXZ,0.9392584,2547.6000000000004,2392.854691243172,High risk + High value,Save now - senior advisor call + content strategy review within 7 days
6496-SLWHQ,0.9493145,2520.0,2392.2724771499634,High risk + High value,Save now - senior advisor call + content strategy review within 7 days
8868-WOZGU,0.94284236,2536.8,2391.8025097846985,High risk + High value,Save now - senior advisor call + content strategy review within 7 days
9889-TMAHG,0.9917542,2407.2,2387.3506482124326,High risk + High value,Save now - senior advisor call + content strategy review within 7 days
9710-ZUSHQ,0.9296135,2562.0,2381.669712781906,High risk + High value,Save now - senior advisor call + content strategy review within 7 days
9221-OTIVJ,0.94437164,2516.3999999999996,2376.4167966127393,High risk + High value,Save now - senior advisor call + content strategy review within 7 days
2265-CYWIV,0.993704,2390.3999999999996,2375.350091743469,High risk + High value,Save now - senior advisor call + content strategy review within 7 days
3473-XIIIT,0.98869413,2400.0,2372.865915298462,High risk + High value,Save now - senior advisor call + content strategy review within 7 days
7825-ECJRF,0.9254289,2558.3999999999996,2367.6173666954037,High risk + High value,Save now - senior advisor call + content strategy review within 7 days
9330-IJWIO,0.981925,2408.3999999999996,2364.868195724487,High risk + High value,Save now - senior advisor call + content strategy review within 7 days
0880-TKATG,0.9739121,2427.6000000000004,2364.269062185288,High risk + High value,Save now - senior advisor call + content strategy review within 7 days
8429-XIBUM,0.97190315,2432.3999999999996,2364.0572106599802,High risk + High value,Save now - senior advisor call + content strategy review within 7 days
7216-EWTRS,0.9767199,2419.2,2362.8808204650877,High risk + High value,Save now - senior advisor call + content strategy review within 7 days
6210-KBBPI,0.9887243,2386.8,2359.8871385335924,High risk + High value,Save now - senior advisor call + content strategy review within 7 days
0302-JOIVN,0.9704962,2427.6000000000004,2355.9765209198004,High risk + High value,Save now - senior advisor call + content strategy review within 7 days
6734-GMPVK,0.9311364,2527.2,2353.16798415184,High risk + High value,Save now - senior advisor call + content strategy review within 7 days
0107-YHINA,0.9821109,2394.0,2351.173536658287,High risk + High value,Save now - senior advisor call + content strategy review within 7 days
0702-PGIBZ,0.9616732,2440.8,2347.2519468784335,High risk + High value,Save now - senior advisor call + content strategy review within 7 days
0897-FEGMU,0.9812965,2388.0,2343.335993528366,High risk + High value,Save now - senior advisor call + content strategy review within 7 days
8884-ADFVN,0.9570336,2446.8,2341.669750285149,High risk + High value,Save now - senior advisor call + content strategy review within 7 days
6599-RCLCJ,0.89020836,2629.2,2340.535829401016,High risk + High value,Save now - senior advisor call + content strategy review within 7 days
7279-BUYWN,0.86111456,2716.8,2339.476040840149,High risk + High value,Save now - senior advisor call + content strategy review within 7 days
9420-LOJKX,0.98355997,2378.3999999999996,2339.2990233421324,High risk + High value,Save now - senior advisor call + content strategy review within 7 days
2656-TABEH,0.9718445,2404.8,2337.091639995575,High risk + High value,Save now - senior advisor call + content strategy review within 7 days
6907-NZZIJ,0.98164177,2379.6000000000004,2335.9147544860843,High risk + High value,Save now - senior advisor call + content strategy review within 7 days
