Client_ID,churn_probability,expected_value_remaining,priority_score,risk_tier,value_tier,segment,recommended_action
3668-QPYBK,0.5677356,1292.4,733.7415054559708,Low risk,High value,Low risk + High value,Nurture - quarterly business review + upsell content roadmap
9237-HQITU,0.9281033,1696.8000000000002,1574.805726528168,High risk,High value,High risk + High value,Save now - senior advisor call + content strategy review within 7 days
9305-CDSKC,0.8166839,2391.6000000000004,1953.1811875820163,High risk,High value,High risk + High value,Save now - senior advisor call + content strategy review within 7 days
7892-POOKP,0.3415058,2515.2,858.9553773880004,Low risk,High value,Low risk + High value,Nurture - quarterly business review + upsell content roadmap
0280-XJGEX,0.9671294,2385.1,2306.700354152918,High risk,High value,High risk + High value,Save now - senior advisor call + content strategy review within 7 days
4190-MFLUW,0.7967656,1324.8000000000002,1055.555100631714,High risk,High value,High risk + High value,Save now - senior advisor call + content strategy review within 7 days
8779-QRDMV,0.8939369,951.5999999999999,850.6703278541564,High risk,Low value,High risk + Low value,Automated nudge - email/portal tips + self-serve content check
1066-JKSGK,0.42222077,483.59999999999997,204.1859627008438,Low risk,Low value,Low risk + Low value,"Monitor - automated health score, standard support"
6467-CHFZW,0.52840835,2384.3999999999996,1259.9368663072585,Low risk,High value,Low risk + High value,Nurture - quarterly business review + upsell content roadmap
8665-UTDHZ,0.9686422,724.8,702.0718485832214,High risk,Low value,High risk + Low value,Automated nudge - email/portal tips + self-serve content check
8773-HHUOZ,0.16905057,1552.8000000000002,262.5017317771912,Low risk,High value,Low risk + High value,Nurture - quarterly business review + upsell content roadmap
6047-YHPVI,0.5788499,1672.8000000000002,968.3001322746278,Low risk,High value,Low risk + High value,Nurture - quarterly business review + upsell content roadmap
5380-WJKOV,0.81047136,2552.3999999999996,2068.6470888376234,High risk,High value,High risk + High value,Save now - senior advisor call + content strategy review within 7 days
8168-UQWWF,0.7578408,2348.3999999999996,1779.7133633852002,High risk,High value,High risk + High value,Save now - senior advisor call + content strategy review within 7 days
7760-OYPDY,0.93684715,1935.6000000000001,1813.3613441705704,High risk,High value,High risk + High value,Save now - senior advisor call + content strategy review within 7 days
9420-LOJKX,0.98355997,2378.3999999999996,2339.2990233421324,High risk,High value,High risk + High value,Save now - senior advisor call + content strategy review within 7 days
7495-OOKFY,0.7874043,1935.6000000000001,1524.099760723114,High risk,High value,High risk + High value,Save now - senior advisor call + content strategy review within 7 days
1658-BYGOY,0.9349473,2290.8,2141.7773020505906,High risk,High value,High risk + High value,Save now - senior advisor call + content strategy review within 7 days
5698-BQJOH,0.88447464,2265.6000000000004,2003.8657333374026,High risk,High value,High risk + High value,Save now - senior advisor call + content strategy review within 7 days
5919-TMRGD,0.95129913,1904.3999999999999,1811.6540649175643,High risk,High value,High risk + High value,Save now - senior advisor call + content strategy review within 7 days
9191-MYQKX,0.877324,1803.6000000000001,1582.3415395259858,High risk,High value,High risk + High value,Save now - senior advisor call + content strategy review within 7 days
8637-XJIVR,0.88751686,1894.8000000000002,1681.6669391155244,High risk,High value,High risk + High value,Save now - senior advisor call + content strategy review within 7 days
0278-YXOOG,0.18049455,505.20000000000005,91.18584508895874,Low risk,Low value,Low risk + Low value,"Monitor - automated health score, standard support"
4598-XLKNJ,0.92719424,2364.0,2191.8871779441833,High risk,High value,High risk + High value,Save now - senior advisor call + content strategy review within 7 days
3192-NQECA,0.28485316,440.0,125.33539056777954,Low risk,Low value,Low risk + Low value,"Monitor - automated health score, standard support"
0486-HECZI,0.85695034,1644.75,1409.4690760821104,High risk,High value,High risk + High value,Save now - senior advisor call + content strategy review within 7 days
4846-WHAFZ,0.6640266,1836.0,1219.1528706550598,High risk,High value,High risk + High value,Save now - senior advisor call + content strategy review within 7 days
5299-RULOA,0.85838723,2406.0,2065.279679775238,High risk,High value,High risk + High value,Save now - senior advisor call + content strategy review within 7 days
0404-SWRVG,0.91872036,1785.6000000000001,1640.4670829772951,High risk,High value,High risk + High value,Save now - senior advisor call + content strategy review within 7 days
4412-YLTKF,0.9326236,1873.1999999999998,1746.990573978424,High risk,High value,High risk + High value,Save now - senior advisor call + content strategy review within 7 days
6207-WIOLX,0.041404665,1406.4,58.231520175933845,Low risk,High value,Low risk + High value,Nurture - quarterly business review + upsell content roadmap
3091-FYHKI,0.85590357,850.8000000000001,728.202753853798,High risk,Low value,High risk + Low value,Automated nudge - email/portal tips + self-serve content check
2372-HWUHI,0.94109136,1064.4,1001.697642159462,High risk,Low value,High risk + Low value,Automated nudge - email/portal tips + self-serve content check
0390-DCFDQ,0.98120433,1690.8000000000002,1659.0202827215196,High risk,High value,High risk + High value,Save now - senior advisor call + content strategy review within 7 days
4080-OGPJL,0.71121615,1707.6000000000001,1214.4727006673813,High risk,High value,High risk + High value,Save now - senior advisor call + content strategy review within 7 days
2135-RXIHG,0.8298205,1095.6,909.1513548374176,High risk,Low value,High risk + Low value,Automated nudge - email/portal tips + self-serve content check
3874-EQOEP,0.85585594,2280.0,1951.351547241211,High risk,High value,High risk + High value,Save now - senior advisor call + content strategy review within 7 days
0867-MKZVY,0.92980206,1977.6000000000001,1838.7765541076662,High risk,High value,High risk + High value,Save now - senior advisor call + content strategy review within 7 days
3376-BMGFE,0.96576947,1701.6000000000001,1643.3533297061922,High risk,High value,High risk + High value,Save now - senior advisor call + content strategy review within 7 days
3445-HXXGF,0.3064189,634.1999999999999,194.3308636665344,Low risk,Low value,Low risk + Low value,"Monitor - automated health score, standard support"
1875-QIVME,0.7889573,2505.6000000000004,1976.81140537262,High risk,High value,High risk + High value,Save now - senior advisor call + content strategy review within 7 days
0691-JVSYA,0.40029326,1802.1499999999999,721.3884999737143,Low risk,High value,Low risk + High value,Nurture - quarterly business review + upsell content roadmap
2656-FMOKZ,0.9130889,1786.8000000000002,1631.5072782039645,High risk,High value,High risk + High value,Save now - senior advisor call + content strategy review within 7 days
